user_key,cluster_id,dominant_share_known,imputed_country_key,imputed_country_iso,imputed_country_name,imputed_market_currency_code,imputation_method
11272,1,0.1545,197,RU,Rusia,USD,cluster_majority
11274,1,0.1545,197,RU,Rusia,USD,cluster_majority
11278,0,0.0204,29,BR,Brasil,USD,cluster_majority
11288,1,0.1545,197,RU,Rusia,USD,cluster_majority
11290,1,0.1545,197,RU,Rusia,USD,cluster_majority
11293,1,0.1545,197,RU,Rusia,USD,cluster_majority
11295,1,0.1545,197,RU,Rusia,USD,cluster_majority
11296,1,0.1545,197,RU,Rusia,USD,cluster_majority
11300,1,0.1545,197,RU,Rusia,USD,cluster_majority
11301,1,0.1545,197,RU,Rusia,USD,cluster_majority
11304,1,0.1545,197,RU,Rusia,USD,cluster_majority
11307,1,0.1545,197,RU,Rusia,USD,cluster_majority
11309,1,0.1545,197,RU,Rusia,USD,cluster_majority
11311,1,0.1545,197,RU,Rusia,USD,cluster_majority
11317,1,0.1545,197,RU,Rusia,USD,cluster_majority
11325,1,0.1545,197,RU,Rusia,USD,cluster_majority
11333,1,0.1545,197,RU,Rusia,USD,cluster_majority
11336,1,0.1545,197,RU,Rusia,USD,cluster_majority
11337,1,0.1545,197,RU,Rusia,USD,cluster_majority
11339,1,0.1545,197,RU,Rusia,USD,cluster_majority
11342,1,0.1545,197,RU,Rusia,USD,cluster_majority
11347,1,0.1545,197,RU,Rusia,USD,cluster_majority
11351,1,0.1545,197,RU,Rusia,USD,cluster_majority
11358,1,0.1545,197,RU,Rusia,USD,cluster_majority
11363,1,0.1545,197,RU,Rusia,USD,cluster_majority
11364,1,0.1545,197,RU,Rusia,USD,cluster_majority
11370,1,0.1545,197,RU,Rusia,USD,cluster_majority
11371,1,0.1545,197,RU,Rusia,USD,cluster_majority
11372,1,0.1545,197,RU,Rusia,USD,cluster_majority
11374,1,0.1545,197,RU,Rusia,USD,cluster_majority
11379,1,0.1545,197,RU,Rusia,USD,cluster_majority
11385,1,0.1545,197,RU,Rusia,USD,cluster_majority
11390,1,0.1545,197,RU,Rusia,USD,cluster_majority
11391,1,0.1545,197,RU,Rusia,USD,cluster_majority
11394,1,0.1545,197,RU,Rusia,USD,cluster_majority
11397,1,0.1545,197,RU,Rusia,USD,cluster_majority
11398,1,0.1545,197,RU,Rusia,USD,cluster_majority
11405,1,0.1545,197,RU,Rusia,USD,cluster_majority
11409,1,0.1545,197,RU,Rusia,USD,cluster_majority
11410,1,0.1545,197,RU,Rusia,USD,cluster_majority
11416,1,0.1545,197,RU,Rusia,USD,cluster_majority
